title,price,lt,lb
Termurah Rumah Baru Pik2 Simprug 216M2 (8X27),"Rp 6,3 Miliar",  216 m²,  203 m²
Rumah Pik Minimalis 3 Lantai Hoek Brandnew,"Rp 13,5 Miliar",  260 m²,  600 m²
"Rumah 3 Lantai Permata Buana. Luas 180 m2 , minimalis siap huni !","Rp 7,2 Miliar",  180 m²,  350 m²
"Jual Cepat Rumah Brand New Homey di Rawamangun, Bisa Nego","Rp 4,1 Miliar",  140 m²,  185 m²
Rumah Green Lake City 4x15 harga good deal,"Rp 1,5 Miliar",  60 m²,  80 m²
"Rumah Hook Green Lake City 9x18 , unit jarang ada","Rp 3,79 Miliar",  160 m²,  150 m²
Rumah Standard Harga NJOP di Jagakarsa Jakarta Selatan,"Rp 12,5 Miliar",  1700 m²,  330 m²
Rumah Standard 2 Lantai Hitung Tanah di Sunter,"Rp 2,5 Miliar",  133 m²,  200 m²
Rumah PIK BGM Hoek Furnish,"Rp 12,5 Miliar",  270 m²,  640 m²
"Rumah Pluit Murni 10x25, Furnish, 3,5 Lantai",Rp 10 Miliar,  250 m²,  600 m²
"Rumah PIK Golf Island 10x25, Depan danau","Rp 9,5 Miliar",  250 m²,  500 m²
Rumah Muara Karang Luas 10x20 Termurah,"Rp 4,7 Miliar",  200 m²,  250 m²
"Rumah Florence PIK 13x20, Hoek","Rp 12,8 Miliar",  260 m²,  600 m²
Rumah Mewah Cluster dekat Golf di Rawamangun Jakarta timur,"Rp 2,6 Miliar",  90 m²,  135 m²
Dijual rumah dalam cluster Admiralty jakarta selatan,Rp 50 Miliar,  2200 m²,  1500 m²
"Rumah Murah Pondok Indah Fully Furnish Lokasi Langka Di Kartika Utama, Pondok Indah Furnished Shm - Sertifikat Hak Milik Bagus",Rp 30 Miliar,  570 m²,  550 m²
Ci.162 Dijual Cepat Rumah Standart Siap Huni Bisa Nego,Rp 950 Juta,  90 m²,  90 m²
Rumah Modern 3 Lantai Di Rawasari Cempaka Putih Jakarta Pusat ,Rp 895 Juta,  24 m²,  71 m²
Rumah Elegant Unfurnished SHM Di Jalan Pemuda Jakarta Timur,"Rp 1,63 Miliar",  57 m²,  74 m²
Dhyana Rumah Tua Jelambar Uk 11.5x20m Lokasi Bagus Komplek Kavpolri,"Rp 4,77 Miliar",  230 m²,  230 m²
Rumah Townhouse 4 KT Bagus Fasilitas Lengkap Aman Gading Parkview,"Rp 5,8 Miliar",  198 m²,  300 m²
Rumah Cantik Citra Gran Hitung Harga Tanah,"Rp 3,09 Miliar",  502 m²,  420 m²
Rumah di Kota Wisata Cibubur Termurah,"Rp 2,99 Miliar",  220 m²,  201 m²
Rumah Cantik Lebak Bulus Dibawah Pasaran,"Rp 9,5 Miliar",  499 m²,  480 m²
Rumah di Raffles Hills Cibubur 2 Lantai Termurah,"Rp 2,29 Miliar",  195 m²,  204 m²
Rumah Blok Favorit Puri Indah 3 Lantai Siap Huni Security 24 Jam,"Rp 10,2 Miliar",  250 m²,  600 m²
Rumah Moderen Industri Akses Motor Bebas Banjir Jakarta Pusat,Rp 553 Juta,  26 m²,  43 m²
Di Jual Rumah Moderen Di cempaka Tengah Shm Jakarta pusat,"Rp 1,94 Miliar",  54 m²,  80 m²
"Rumah Di Amerika Latin 10x18 Green Lake City, Shm, Bagus Rapih","Rp 4,6 Miliar",  180 m²,  211 m²
"Kost Lux Grogol, MURAH BANGET!!",Rp 7 Miliar,  105 m²,  210 m²
"Rumah 8x20 Bangun Sendiri dari Kavling di Muara Karang blok 8, 3 Lantai Bagus Selatan SHM","Rp 6,5 Miliar",  160 m²,  360 m²
 rooftop Rumah Minimalis Modern 3 Lantai Dekat Rsia Brawijaya,"Rp 9,6 Miliar",  215 m²,  450 m²
Dijual Rumah Mewah Furnished Pondok Indah Luxury House Jaksel,Rp 35 Miliar,  570 m²,  550 m²
Rumah Mewah Pik Cluster Ebony 473 M2 Ada Lift Dan Swiming Pool,Rp 45 Miliar,  473 m²,  473 m²
RUMAH BAGUS 3LT LUAS 5X20M FULL RENOV DI JELAMBAR - *GOOD-DEAL!!*,"Rp 2,5 Miliar",  100 m²,  228 m²
ANA*RUMAH KOMP. DUTAMAS LUAS 7X20M 2LT SHM LOKASI BAGUS JELAMBAR - *GOOD-DEAL!!*,"Rp 3,2 Miliar",  140 m²,  218 m²
ANA*RUMAH MURAH 3.5LT LUAS 15X20M LOKASI BAGUS COCOK USAHA DI JELAMBAR - *GOOD-DEAL!!*,"Rp 6,99 Miliar",  305 m²,  788 m²
ANA*RUMAH MURAH 3LT LUAS 5X20M JLN 2MOBIL DI JELAMBAR - *GOOD-DEAL!!*,"Rp 2,4 Miliar",  92 m²,  186 m²
ANA*RUMAH KOST 3LT UK 6X25M LOKASI BAGUS DI JELAMBAR - *GOOD-DEAL!!*,"Rp 4,3 Miliar",  150 m²,  338 m²
ANA*RUMAH KAV.POLRI LUAS 12.5X20.5M 2LT LOKASI BAGUS JELAMBAR - *GOOD-DEAL!!*,"Rp 6,7 Miliar",  260 m²,  418 m²
"ANA*RUMAH MURAH ASRI LUAS 15.5X25M, SIAP HUNI DI JELAMBAR - *GOOD-DEAL!!*",Rp 5 Miliar,  387 m²,  338 m²
"ANA*RUMAH DI KAV.POLRI LUAS 4.33X20M, 3.5LT HADAP SELATAN JELAMBAR - *GOOD-DEAL!!*","Rp 3,8 Miliar",  238 m²,  87 m²
ANA*RUMAH KAV.POLRI LUAS 5.7X20M 3.75LT FURNISH JELAMBAR - *GOOD-DEAL!!*,"Rp 5,7 Miliar",  114 m²,  328 m²
"ANA*RUMAH 3LT DI KAV.POLRI LUAS 3.8X15M, LOKASI BAGUS JELAMBAR - *GOOD-DEAL!!*
","Rp 2,05 Miliar",  58 m²,  138 m²
"Rumah Menteng ring 1 limited! Dekat bundaran HI hitung Tanah, good invest, Prime area",Rp 139 Miliar,  1754 m²,  1500 m²
Murahh Rumah Muara Karang Blok 8 Hitung Tanah ,"Rp 5,5 Miliar",  200 m²,  150 m²
Rumah 2 Lantai di Taman Solo Cempaka Putih Jakarta Pusat,"Rp 1,36 Miliar",  39 m²,  77 m²
Rumah 2 Lantai dengan Lokasi Strategis dekat Kampus UNJ Jakarta Timur,"Rp 1,63 Miliar",  57 m²,  74 m²
Dhyana Rumah Jelambar Uk 4.6x20m Bangunan 2.5 Lantai Hadap Selatan,"Rp 2,4 Miliar",  92 m²,  178 m²
Dhyana Rumah Uk 4x19m Lokasi Bagus di Jalan Raya Jelambar,"Rp 2,8 Miliar",  76 m²,  210 m²
Dhyana Rumah Kost Jelambar Uk 6x25m Surat Shm Lokasi Strategis ,"Rp 4,3 Miliar",  150 m²,  325 m²
Dhyana Rumah Jelambar Uk 12.5x20.5m Lokasi Bagus Komplek Kavling Polri,"Rp 6,7 Miliar",  260 m²,  400 m²
Dhyana Rumah Siap Huni Uk 15.5x25m di Jelambar,Rp 5 Miliar,  387 m²,  310 m²
Dhyana Rumah Jelambar Uk 4.2x17m Plong Akses Lega Jalan Besar,"Rp 2,8 Miliar",  72 m²,  210 m²
Dhyana Rumah Jelambar Uk 4.33x20m Lokasi Bagus Komplek Kavpolri,"Rp 3,8 Miliar",  87 m²,  219 m²
Dhyana Rumah Uk 4x15m di Komplek Kavling Polri,"Rp 2,3 Miliar",  60 m²,  120 m²
Dhyana Rumah Bagus Uk 5.7x20m Full Furnish di Komplek Kavling Polri,"Rp 5,7 Miliar",  114 m²,  320 m²
Dhyana Rumah Jelambar Uk 3.85x15m Akses Lega Kompek Kavling Polri,"Rp 2,05 Miliar",  58 m²,  132 m²
"Dhyana Rumah Uk 4.5x15m di Komplek Greenvil, Kebun Jeruk","Rp 1,95 Miliar",  67 m²,  90 m²
Dijual Rumah 3lt di Golf Island Pik Uk 6x12.5 kondisi tersewa,"Rp 2,9 Miliar",  75 m²,  225 m²
"Rumah Bagus Furnished di Permata Hijau, Jakarta Selatan","Rp 9,6 Miliar",  296 m²,  300 m²
Rumah 3 Lantai di Lamandau Kebayoran Baru,"Rp 17,7 Miliar",  259 m²,  675 m²
"Rumah Europe Classic 4 Lantai di Kemang, Jakarta Selatan",Rp 23 Miliar,  373 m²,  800 m²
Termurah Rumah 3 Lantai Golf Island Pik Luas 75m2 Siap Huni,"Rp 2,9 Miliar",  75 m²,  225 m²
Rumah Mewah dan Siap Huni Jakarta Selatan 540m2 Ada Pool,Rp 40 Miliar,  540 m²,  700 m²
Townhouse Rumah Siap Huni Modern Classic Rooftop Jagakarsa,"Rp 1,85 Miliar",  69 m²,  150 m²
"La.862 Ph.367 Turun Harga Jual Cepat Rumah Bagus Siap Huni Janur Elok, Nego",Rp 5 Miliar,  121 m²,  121 m²
Rumah Mewah 2 Lantai dekat ke Jalan Letjen Suprapto Cempaka Putih Jakarta Pusat,"Rp 2,28 Miliar",  53 m²,  94 m²
Rumah Siap Huni 2 Lantai Dalam Komplek Villa Delima Lebak Bulus ,"Rp 5,25 Miliar",  220 m²,  280 m²
"Cepat Rumah Permata Buana + Private Swimming pool Puri , KembanganJakarta Barat","Rp 12,7 Miliar",  535 m²,  700 m²
Rumah Muara Karang Blok 8. Murah. Lokasi Bagus. Nego,"Rp 5,75 Miliar",  200 m²,  210 m²
Rumah 6 x 18 Bagus di Green Lake City,"Rp 2,75 Miliar",  108 m²,  140 m²
 Rumah 6 x 16 Rare SHM - Sertifikat Hak Milik di Green Lake City,"Rp 2,07 Miliar",  96 m²,  120 m²
 Rumah Australia Bagus SHM - Sertifikat Hak Milik di Green Lake City,"Rp 2,1 Miliar",  90 m²,  120 m²
Rumah Green Lake City 10 x 18 SHM - Sertifikat Hak Milik,"Rp 4,7 Miliar",  180 m²,  300 m²
 6 x 15 Termurah Sudah Renovasi Semi Furnished di Green Lake City,"Rp 2,3 Miliar",  90 m²,  120 m²
Rumah 8 x 15 Dekat Danau Sudah Renovasi di Green Lake City,"Rp 3,3 Miliar",  120 m²,  160 m²
Rumah 6 x 15 Europe Termurah di Green Lake City,"Rp 2,3 Miliar",  90 m²,  120 m²
Rumah Unfurnished Bagus SHM - Sertifikat Hak Milik di Green Lake City,"Rp 2,5 Miliar",  90 m²,  120 m²
Rumah Termurah 3 Lantai Sudah Renovasi di Green Lake City,"Rp 2,5 Miliar",  90 m²,  120 m²
Rumah 8 x 15 Bagus di Green Lake City,"Rp 3,25 Miliar",  120 m²,  180 m²
 Rumah Termurah Sudah Renovasi Semi Furnished di Green Lake City,"Rp 1,7 Miliar",  84 m²,  100 m²
Rumah Dibawah Harga NJOP Hoek di Green Lake City Semi Furnished,"Rp 2,95 Miliar",  165 m²,  180 m²
Rumah 6 x 15 Termurah Sudah Renovasi di Green Lake City,"Rp 2,31 Miliar",  90 m²,  160 m²
ISTIMEWA!!! Siap Huni Full Furnished!! Rumah di Cempaka Putih Barat 2 Lantai SHM Bagus,"Rp 6,9 Miliar",  260 m²,  400 m²
Cepat Rumah Baru siap Huni Di Komplek Mendawai Dan Lamandau Blok M Kebayoran Baru Jakarta Selatan,"Rp 17,5 Miliar",  260 m²,  260 m²
Termurah Di Jual Rumah Harga Mendekati Njop Di Villa Delima Lebak Bulus Jakarta Selatan,Rp 14 Miliar,  752 m²,  353 m²
Rumah 2 Lantai siap huni Perumahan Metland Menteng Cakung Jakarta Timur dekat dengan Jakarta Garden City,"Rp 2,4 Miliar",  160 m²,  130 m²
Rumah Brandnew SHM 2 Lantai di Komplek Beacukai Sukapura,"Rp 1,27 Miliar",  48 m²,  90 m²
Mega Kebon Jeruk Rumah Mewah Hadap Selatan Siap Huni Bagus Rapi Dan Nyaman,"Rp 6,5 Miliar",  300 m²,  400 m²
Jual rumah Suntar danau asri hook 417m2 modern high ceiling,Rp 13 Miliar,  417 m²,  753 m²
2 Lantai Rumah La Seine 6x17 Jakarta Garden City ,"Rp 1,95 Miliar",  102 m²,  150 m²
Rumah Janur Indah jalan lebarr,"Rp 6,9 Miliar",  300 m²,  150 m²
Rumah Lama Ukuran 12x17 Cocok di Bangun Ulang di Sunter Paradise,"Rp 5,5 Miliar",  204 m²,  190 m²
"Jual Cepat Rumah Standart Kondisi Rapi di Sunter Indah, Bisa Nego","Rp 4,1 Miliar",  200 m²,  1 m²
"Jual Murah Rumah Minimalis Dalam Gang di Sunter Jaya, Bisa Nego",Rp 800 Juta,  52 m²,  1 m²
Jual Cepat Rumah Minimalis Full Furnish di Griya Inti Sentosa,"Rp 4,9 Miliar",  119 m²,  1 m²
DI JUAL RUMAH MEGAH DI PONDOK INDAH JAKARTA SELATAN.,Rp 45 Miliar,  1000 m²,  900 m²
RUMAH TERMURAH SEGERA SURVEI DALAM KOMPLEK,Rp 5 Miliar,  240 m²,  160 m²
Rumah tomang di Jalan rawa kepa 3 3 Lantai SHM,"Rp 2,19 Miliar",  42 m²,  90 m²
Rumah tanjung duren di Jalan way seputih 3 Lantai SHM Baru Selatan,"Rp 2,52 Miliar",  73 m²,  193 m²
Rumah Taman Ratu 3 Lantai SHM Utara jalan 2 mobil ,"Rp 1,89 Miliar",  50 m²,  120 m²
Turun Harga Murah Rumah di bumi malaka Asri,"Rp 2,15 Miliar",  135 m²,  70 m²
Rmh tebet Utara Dalam Cocok utk usaha ,Rp 15 Miliar,  449 m²,  138 m²
Rumah Griya Inti Sentosa Fully Furnished Murah ,"Rp 4,9 Miliar",  119 m²,  196 m²
Rumah Paradise Timur Raya Jual Murah Jalan Lebar 3 Mobil,"Rp 6,25 Miliar",  292 m²,  290 m²
Dijual Murah Rumah Cantik Menteng Dalam Dukuh Patra,Rp 31 Miliar,  587 m²,  531 m²
"Rumah Cantik Meruya Utara, Bisa Custom Layout ","Rp 1,99 Miliar",  87 m²,  115 m²
"Rumah Cantik Meruya Utara, Bisa Custom Layout ","Rp 1,99 Miliar",  87 m²,  115 m²
"Rumah Brand New Meruya Utara, Bisa Custom Layout","Rp 1,65 Miliar",  60 m²,  84 m²
Rumah Sederhana Minimalis Permata Buana Jakbar,"Rp 4,2 Miliar",  160 m²,  112 m²
"Rumah Modern Minimalis Meruya, Jakarta Barat","Rp 2,39 Miliar",  125 m²,  150 m²
"Rumah Jakarta Selatan, Hoek di Simprug Golf. Hitung Tanah hadap Timur. Semi Furnished","Rp 96,5 Miliar",  1380 m²,  1200 m²
Rumah Mewah Lotus Palace PIK Lift Kolam Renang (1130m),Rp 80 Miliar,  1130 m²,  1900 m²
Rumah Mewah PIK Trimaran Modern Minimalis Kolam Renang Lift 4 Lantai,Rp 60 Miliar,  600 m²,  1300 m²
"Turun Harga Sudah Murah Rumah Kost Furnished Radio Dalam, Jaksel","Rp 4,3 Miliar",  201 m²,  350 m²
Murah hitung tanah! Rumah 2 lantai di komplek elite Lebak Bulus SHM,"Rp 5,25 Miliar",  292 m²,  235 m²
Cepat Sudah Turun Harga Rumah Jagakarsa Tanah Luas,Rp 9 Miliar,  607 m²,  334 m²
Dijual Rumah Grisenda Pantai Indah Kapuk,"Rp 5,2 Miliar",  200 m²,  220 m²
"Rumah di Golf Island, Pantai Indah Kapuk 8x15 2 Lantai HS Bagus","Rp 4,3 Miliar",  120 m²,  173 m²
Madja Residence Rumah Baru 3 Lantai American Classic Siap Huni,Rp 4 Miliar,  167 m²,  280 m²
Taman Meruya Ilir Rumah Cantik 2 Lantai Bagus Rapi Siap Huni Hadap Selatan,"Rp 2,9 Miliar",  120 m²,  160 m²
Rumah murah minimalis 4 kamar bebas banjir kelapa gading,"Rp 2,6 Miliar",  90 m²,  125 m²
Rumah elit mewah 3 lantai 5 kamar BU murah di villa permata kelapa gading,"Rp 11,5 Miliar",  375 m²,  700 m²
Sh.004 Jual Cepat Rumah Bagus Siap Huni Pondok Kelapa Duren Sawit,"Rp 1,75 Miliar",  104 m²,  114 m²
"Rumah Mewah di Royal Gading Mansion, Kelapa Gading Jakarta Utara","Rp 9,5 Miliar",  200 m²,  540 m²
Rumah 2 lantai minimalis modern aman dan nyaman,"Rp 16,3 Miliar",  57 m²,  74 m²
Rumah minimalis/modern 2 lantai yang aman dan nyaman,Rp 524 Juta,  22 m²,  42 m²
Rumah 2 lantai modern nyaman dan aman,"Rp 2,47 Miliar",  76 m²,  90 m²
Rumah Mewah Bagus luas 625m di Pantai Indah Kapuk PIK,Rp 25 Miliar,  625 m²,  1000 m²
Rumah Mewah Bagus luas 337m di Pantai Indah Kapuk PIK,Rp 20 Miliar,  337 m²,  650 m²
"Rumah Katamaran PIK luas 8x22,5 2lantai Semi Furnish","Rp 6,75 Miliar",  180 m²,  380 m²
Rumah 8x15 di Denver PIK 2 Bagus,"Rp 4,9 Miliar",  120 m²,  163 m²
BAGUS BANGET Rumah Permata Buana Full Renovasi Siap Huni,"Rp 4,99 Miliar",  136 m²,  200 m²
Rumah Rapih di Permata Buana 144m2 Cluster Favorit Siap Huni,"Rp 4,7 Miliar",  144 m²,  250 m²
"Rumah 2 Tingkat Strategis Dekat Mesjid, Taman Sekolah Tk Sd Sma","Rp 1,12 Miliar",  90 m²,  115 m²
Dijual Rumah Puri Mansion 8x18 Lokasi Bagus Parkiran Luas,"Rp 4,5 Miliar",  144 m²,  250 m²
"Andre Tjhia Meruya Uk. 5X25 Cicil Dp 8 Bulan Custom Fasad, Layout","Rp 2,35 Miliar",  125 m²,  140 m²
ANA*RUMAH MURAH 3LT LUAS 4X16M2 HARGA 1M-an DI JELAMBAR - *GOOD-DEAL!!*,"Rp 1,25 Miliar",  64 m²,  138 m²
Andre Tjhia Meruya 10 Menit Dr Mal Puri Indah Rumah Lokasi Bagus,"Rp 2,65 Miliar",  125 m²,  185 m²
Andre Tjhia Meruya Uk 6x10 Rumah Bisa Cicil,"Rp 1,65 Miliar",  60 m²,  84 m²
ANA*RUMAH MURAH 2LT LUAS 7.5X15M DI KAV.POLRI LOKASI BAGUS JELAMBAR - *GOOD-DEAL!!*,"Rp 2,29 Miliar",  112 m²,  178 m²
Andre Tjhia Meruya Rumah Uk 5x20 Lokasi Bagus Dkt Villa Meruya,Rp 2 Miliar,  100 m²,  160 m²
"ANA*RUMAH BAGUS 3LT KAV.POLRI LUAS 4X20M, JLN 2.MOBIL JELAMBAR - *GOOD-DEAL!!*",Rp 3 Miliar,  80 m²,  188 m²
"Rumah di Hook Nyaman 2,5 Lantai Siap Huni Tebet Jakarta Selatan ",Rp 20 Miliar,  298 m²,  550 m²
Akses Jalan. 3 Mobil Rumah Pondok Kelapa Strategis Bebas Banjir,"Rp 2,85 Miliar",  120 m²,  150 m²
Termurah Rumah Baru Pik2 Simprug 216M2 (8X27),"Rp 6,3 Miliar",  216 m²,  203 m²
"Rumah Pantai Indah Kapuk, 12x17, Hook, 08.1212.560560","Rp 8,8 Miliar",  204 m²,  300 m²
"Rumah Di Riviera 8x15 Metland, Full Furnished, Hadap Selatan","Rp 3,65 Miliar",  120 m²,  131 m²
RUMAH PIK 1 GARDEN HOUSE ADA KOLAM RENANG TURUN HARGA!!!,Rp 10 Miliar,  250 m²,  280 m²
Rumah Kano Permai PIK Uk 16X40 Full Marmer Ada Kolam Renang,Rp 36 Miliar,  640 m²,  1700 m²
Rumah Baru Mewah Di Permata Buana 10x15 SHM Unfurnish,"Rp 9,85 Miliar",  150 m²,  420 m²
Rumah Mewah di Puri Indah Bagus SHM 12x25 Hadap Utara,"Rp 13,5 Miliar",  300 m²,  345 m²
Rumah Mewah di Permata Buana 10x13 Brand New Hadap Timur,"Rp 8,5 Miliar",  130 m²,  300 m²
Rumah Garden House PIK 10X25 Ada Kolam Renang,Rp 10 Miliar,  250 m²,  380 m²
Rumah BGM PIK 8X18 Full Bangunan Hadap Selatan,Rp 7 Miliar,  144 m²,  208 m²
Rumah Citra 5 Luas 250m2 Hoek Termurah Mewah Siap Huni,"Rp 6,5 Miliar",  250 m²,  500 m²
Rumah Puri Botanical 2 Lantai - Luas tanah 72 m2. Siap huni ,Rp 2 Miliar,  72 m²,  90 m²
"Rumah di Riviera Metland Puri, Uk. 8x15 , Phase 1 , Hadap Selatan","Rp 3,65 Miliar",  120 m²,  131 m²
Rumah Minimalis Baru 2 lantai di Jalan Sunter Agung Jakarta Utara,Rp 474 Juta,  21 m²,  41 m²
"Dijual rumah di Kota Wisata Cibubur, siap huni dan tdk banjir","Rp 1,75 Miliar",  136 m²,  130 m²
Dijual Rumah di Jatipadang dlm cluster tenang dekat toll jorr ,"Rp 8,88 Miliar",  450 m²,  420 m²
Dijual Cepat Rumah Murah Siap Huni Private Pool Nuansa Garden SHM Harga Murah Dekat Sekolah Prancis Dan Kebayoran Baru Area Cipete Jakarta Selatan,"Rp 9,6 Miliar",  215 m²,  400 m²
"Dijual di Kemang Ampera lokasi tenang tdk banjir,harga tanah saja",Rp 9 Miliar,  730 m²,  400 m²
"Dijual Cepat Rumah Baru Brand New Luxurious Classic White House Mewah Good Location Negosiable Lokasi Tenang Dan Nyaman Dekat Sekolah Jis Dan Harga Murah Di Pondok Indah,jakarta Selatan",Rp 55 Miliar,  627 m²,  1050 m²
"Dijual rumah di Kemang lokasi tenang tdk banjir,hitung tanah saja",Rp 16 Miliar,  894 m²,  450 m²
Tebet Akses Jalan 3 Mobil Besar Lingkungan Rapi Nyaman,"Rp 7,97 Miliar",  315 m²,  400 m²
JUAL MURAH Rp 15M LT450/400 di Jl. Taman Radio Dalam Kebayoran Baru,Rp 15 Miliar,  454 m²,  400 m²
Jual Cepat Murah Rp 8M Lt 291 Lb 255 Jl. Talang Menteng,Rp 8 Miliar,  291 m²,  255 m²
Dijual Rumah Mewah Di Pondok Indah Lt460/700 Dekat PIM2,Rp 22 Miliar,  460 m²,  700 m²
"Rumah Asri Kusen Jati Lt443/300 Rp 8,8M Dekat Citos Cilandak ","Rp 8,8 Miliar",  443 m²,  320 m²
"Cepat Rp 11,9M Lt470 Lb300 Jarang Ada Asri Lokasi Terbaik Di Cipete Jakarta Selatan","Rp 11,9 Miliar",  470 m²,  235 m²
Rumah Modern Classic di Lokasi Prime Kemang Pejaten Barat,"Rp 16,5 Miliar",  648 m²,  600 m²
Rumah Akese Lenar di Lokasi Premium Area Kemang Pejaten,"Rp 16,5 Miliar",  648 m²,  600 m²
Rumah Mewah Siap Huni di Pejaten Barat dekat ke Kemang,Rp 8 Miliar,  210 m²,  350 m²
RUMAH MEWAH AMERICAN CLASSIC DI KEMANG JAKARTA SELATAN,Rp 23 Miliar,  373 m²,  700 m²
Rumah Mewah di Kemang Dalam Jakarta Selatan,Rp 29 Miliar,  600 m²,  600 m²
Rumah Mewah Kemang Pajaten dekat Kemang Timur dan Kemang Dalam,Rp 8 Miliar,  210 m²,  350 m²
Turun Harga! Rumah Sudah Renov Di Janur Elok Kelapa Gading,"Rp 6,1 Miliar",  220 m²,  320 m²
Rumah Bagus Siap Huni Dan Strategis Dekat Pondok Indah Bintaro,"Rp 3,5 Miliar",  87 m²,  131 m²
Rumah dijual di Cipete harga paling murah sekali,"Rp 6,75 Miliar",  400 m²,  350 m²
Rumah dijual harga masuk akal lokasi di jl kenanga Ampera Cilandak ,Rp 16 Miliar,  676 m²,  400 m²
"Golf Lake Residence Cengkareng 3 Lantai, Semi furnished, SHM","Rp 5,5 Miliar",  144 m²,  300 m²
"Rumah SHM Bebas Banjir Startegis di Jl. Pisangan Baru Utara, Matraman, Jakarta Timur, Dki Jakarta",Rp 828 Juta,  30 m²,  58 m²
"Rumah Mewah SHM Akses Jalan Utama di Cempaka Putih, Dki Jakarta","Rp 2,4 Miliar",  53 m²,  94 m²
"Rumah Sunter Karya, 3 Lantai, 4,5 X 15 Shm, Belakang Sunter Mal, Jual Cepat Murah","Rp 2,1 Miliar",  68 m²,  160 m²
"Rumah Di Belakan Mal Kelapa Gading, Lt 377, Lb 500, Huk, 2 Lantai, Fullfurnish, Tidak Banjir, Jual Murah Dibawah Pasaran",Rp 10 Miliar,  377 m²,  500 m²
ANA*RUMAH 3LT LUAS 11X15M LOKASI BAGUS JLN 2MOBIL LEGA DI JELAMBAR - *GOOD-DEAL!!*,"Rp 4,99 Miliar",  165 m²,  338 m²
Rumah pantai mutiara 3 lantai bagus luas tanah 951m,Rp 25 Miliar,  951 m²,  2500 m²
Rumah 6 x 15 Europe Semi Furnished di Green Lake City,"Rp 2,6 Miliar",  90 m²,  120 m²
Town House Minimalis di Kemang Keamanan 24 Jam Bebas Banjir Shm,"Rp 5,6 Miliar",  150 m²,  210 m²
Paling murah!! Rumah standard 3KT di Sunter Hijau,"Rp 1,75 Miliar",  96 m²,  70 m²
Rumah 2lt 90m 3kt Cluster Mississippi Jgc Jakarta Garden City ,"Rp 1,75 Miliar",  90 m²,  75 m²
 Rumah 2lt Luas 112m 3kt Cluster Missisippi Jakarta Garden City,"Rp 2,55 Miliar",  112 m²,  140 m²
Rumah 2lt 8x15 120m 3kt Cluster Thames Jgc Jakarta Garden City,"Rp 2,5 Miliar",  120 m²,  90 m²
Rumah 2lt 220m 5kt Cluster Palm Spring Jgc Jakarta Garden City,"Rp 5,5 Miliar",  220 m²,  300 m²
Rumah 2lt Luas 211m Type 4kt Cluster Riviera Garden Kelapa Gading,"Rp 5,7 Miliar",  211 m²,  220 m²
Rumah 10x30 Pik Gold Coast View Danau Semi Furnish,Rp 15 Miliar,  300 m²,  600 m²
Ciamik Rumah 10x25 Pik Garden House Ada Kolam Renang ,"Rp 10,5 Miliar",  250 m²,  400 m²
Rumah kemang modern dengan private pool ,Rp 9 Miliar,  174 m²,  294 m²
"Dijual rumah hook minimalis 3,5 lantai bebas banjir di kelapa gading","Rp 15,8 Miliar",  414 m²,  670 m²
Termurah Jual BU Rumah Puri Mansion 8x20 2 Lantai ,"Rp 4,29 Miliar",  160 m²,  160 m²
"Dijual Rumah di Daerah Pondok Indah, Jakarta Selatan Swimpool",Rp 16 Miliar,  320 m²,  300 m²
"Minimalis Modern Townhouse di Bintaro, Jakarta Selatan","Rp 4,5 Miliar",  212 m²,  195 m²
Rumah Golf Island Dekat Batavia Pik,"Rp 6,8 Miliar",  150 m²,  200 m²
Rumah Pik Florence 8x20 Full Renov American White,"Rp 6,5 Miliar",  160 m²,  360 m²
Rumah New Modern Minimalis di Pluit (Hadap Utara),"Rp 7,8 Miliar",  168 m²,  465 m²
"Rumah di Daerah Jagakarsa, Jakarta Selatan Full Furnish","Rp 5,8 Miliar",  300 m²,  200 m²
"Rumah di Antasari, Cipete Utara, Kebayoran Baru, Jakarta Selatan",Rp 7 Miliar,  216 m²,  375 m²
"Dijual Rumah di Kemang Utara, Jakarta Selatan ",Rp 27 Miliar,  1019 m²,  800 m²
"Dijual Rumah Nyaman di Daerah Pasar Minggu, Jakarta Selatan","Rp 5,5 Miliar",  230 m²,  325 m²
"Dijual Rumah Nyaman di Daerah Pejaten, Jakarta Selatan ","Rp 5,5 Miliar",  230 m²,  325 m²
"Dijual Rumah di Komplek Garuda Pasar Minggu, Jakarta Selatan",Rp 8 Miliar,  327 m²,  146 m²
"Rumah Siap Huni Dalam Cluster di Pejaten Barat, Jakarta Selatan","Rp 6,9 Miliar",  276 m²,  330 m²
Rumah bagus 2 lantai di Permata Timur 1 Jaktim. MURAH,"Rp 3,8 Miliar",  256 m²,  400 m²
Rumah kos-kosan 2 lantai SHM di Cipinang Jakarta Timur,Rp 8 Miliar,  250 m²,  400 m²
"Rumah di Pinisi Indah Pik, Hadap Utara Barat",Rp 22 Miliar,  610 m²,  1000 m²
"Rumah Bagus 1,5 Lantai Siap Huni Tomang Jakarta Barat",Rp 10 Miliar,  287 m²,  250 m²
"Rumah Minimalis Baru di Tomang, Lokasi Strategis, SHM, Siap Huni","Rp 2,19 Miliar",  60 m²,  120 m²
Andre Tjhia Puri Mansion Hot Listingn Uk. 8x15 Full Renovasi Semi Furnish,"Rp 3,75 Miliar",  120 m²,  180 m²
