title,price,lt,lb
Dijual Rumah Modern Furnished Citra Garden,"Rp 2,8 Miliar",  96 m²,  175 m²
Dijual rumah super mewah pik sangat bagus,Rp 60 Miliar,  600 m²,  1500 m²
Rumah dengan design minimalis modern akses motor di jakarta timur,Rp 524 Juta,  22 m²,  42 m²
Rumah Didaerah Patra Kuningan. Lokasi Strategis,"Rp 16,9 Miliar",  551 m²,  495 m²
Dijual Rumah Tropical di Komplek Perumahan Dekat Aeon Mall. Siap Huni,"Rp 6,45 Miliar",  258 m²,  350 m²
Rumah kost Harmoni di Jalan Hasyim Ashari 5 Lantai HGB Timur,"Rp 6,95 Miliar",  94 m²,  450 m²
Rumah Cluster Alamanda 3 Bantar Jati Residence Cipayung Jaktim,"Rp 2,07 Miliar",  88 m²,  165 m²
Murah! Rumah hitung tanah di Taman Bona Indah SHM,"Rp 3,5 Miliar",  144 m²,  110 m²
Rumah fully furnished komplek one gate system 8 menit ke lebak bulus SHM,"Rp 2,5 Miliar",  144 m²,  150 m²
Jual Murah!! Rumah Tanjung Priok 20x15 (300m²) nego sampai deal!!,"Rp 2,95 Miliar",  300 m²,  144 m²
"Dijual Rumah di Daerah Warung Buncit, Jakarta Selatan Taman Luas ","Rp 5,5 Miliar",  230 m²,  325 m²
Rumah siap huni diperumahan elite intercon kebon jeruk,Rp 8 Miliar,  324 m²,  400 m²
Rumah Asri Murah Dp Mulai 0 Konsep Townhouse di Pessanggrahan,Rp 750 Juta,  63 m²,  36 m²
Rumah Mewah 3 Lantai + Rooftop Private Pool Pasar Minggu Jaksel,"Rp 7,47 Miliar",  136 m²,  261 m²
"Rumah di Emerald Bintaro, sudah renov di Sektor 9",Rp 2 Miliar,  84 m²,  96 m²
Rumah Dijual Duta Garden Jakarta Barat,"Rp 1,66 Miliar",  55 m²,  68 m²
La.1102turun Harga Dijual Cepat Rumah Tua Hitung Tanah di Sawah Besar,"Rp 1,27 Miliar",  126 m²,  66 m²
"Rumah Cantik di Jeruk Purut Ampera, Jakarta Selatan",Rp 8 Miliar,  294 m²,  350 m²
Turun Harga Jual Cepat Rumah Jati Padang Jaksel,"Rp 5,6 Miliar",  264 m²,  280 m²
"Dijual harga Murah. Rumah 2 Lantai dlm kompleks, Pengadegan.Pancoran Jakarta Selatan. SHM","Rp 4,75 Miliar",  241 m²,  195 m²
RUMAH MINIMALIS 2 LANTAI LOKASI JAYAKARTA JAKARTA PUSAT,Rp 473 Juta,  26 m²,  43 m²
"Kost Lux Grogol, MURAH BANGET!!",Rp 7 Miliar,  105 m²,  210 m²
"Rumah 4 Lantai SHM di Veteran, Jakarta Selatan","Rp 5,8 Miliar",  120 m²,  246 m²
"DIJUAL TOWN HOUSE ANCOL MANSION 2,5 LANTAI SHGB BAGUS FURNISH","Rp 5,75 Miliar",  160 m²,  225 m²
"RUMAH BAGUS DI PLUMPANG, WALANG BARU, SIAP HUNI 2 LANTAI, SHM","Rp 2,8 Miliar",  200 m²,  300 m²
